name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
Mad World,Gary Jules,spotify:track:3JOVTQ5h8HGFnDdp4VT3MP,0.976,0.344,0.0585,0.000362,0.103,-17.212,0.0373,174.149,0.323,Nova playlist 2
Listen to the Man,George Ezra,spotify:track:6zR5rIivVSMFkgzIkVp8l9,0.505,0.599,0.548,0.0,0.0898,-5.911,0.0323,121.163,0.518,Nova playlist 2
Budapest,George Ezra,spotify:track:7GJClzimvMSghjcrKxuf1M,0.0883,0.714,0.451,0.0,0.108,-8.268,0.0276,127.787,0.406,Nova playlist 2
Clint Eastwood,Gorillaz,spotify:track:1RKUoGiLEbcXN4GY4spQDx,0.0253,0.663,0.694,0.0,0.0698,-8.627,0.171,167.953,0.525,Nova playlist 2
Take Me To Church,Hozier,spotify:track:2EiGECydkS2M8OCcRHQZhT,0.588,0.456,0.67,0.0,0.116,-5.212,0.0574,128.632,0.405,Nova playlist 2
Over The Rainbow,Israel Kamakawiwo'ole,spotify:track:3bINd6fURyFLT0sQwkjbCG,0.909,0.677,0.116,2.59e-05,0.0756,-15.703,0.0412,85.1,0.68,Nova playlist 2
Piece of My Heart,Big Brother & The Holding Company,spotify:track:1xKQbqQtQWrtQS47fUJBtl,0.263,0.443,0.727,0.000141,0.169,-7.951,0.145,160.82,0.566,Nova playlist 2
Look What You've Done,Jet,spotify:track:0ZSmRnXnP5fdANtVlCok1g,0.414,0.398,0.547,0.00143,0.146,-6.846,0.0261,73.396,0.305,Nova playlist 2
Bad Reputation,Joan Jett & the Blackhearts,spotify:track:5M5ySjWYS4s6hi2pEvEwb5,0.00197,0.385,0.975,0.0167,0.0602,-4.099,0.192,204.397,0.821,Nova playlist 2
Imagine - Remastered 2010,John Lennon,spotify:track:7pKfPomDEeI4TPT6EOYjn9,0.907,0.547,0.257,0.183,0.0935,-12.358,0.0252,75.752,0.169,Nova playlist 2
Ruby,Kaiser Chiefs,spotify:track:0N5x5UmYcbBeHFJtCCqf62,0.00673,0.451,0.939,4.85e-06,0.0774,-2.82,0.0512,93.416,0.448,Nova playlist 2
Eduardo E Mônica,Legião Urbana,spotify:track:6Pa6VpdGS8OfiVOEnNAHHw,0.485,0.671,0.443,0.000283,0.112,-12.776,0.0389,79.275,0.589,Nova playlist 2
Fuck You,Lily Allen,spotify:track:5st5644IlBmKiiRE73UsoZ,0.0271,0.775,0.904,0.000303,0.06,-4.08,0.0437,130.009,0.84,Nova playlist 2
Air Balloon,Lily Allen,spotify:track:3c2bf04YLLPlIzkv0SjWPW,0.0195,0.717,0.678,0.000434,0.201,-6.167,0.0379,94.976,0.556,Nova playlist 2
Os Muleke É Liso,MC Rodolfinho,spotify:track:6OmKF6WW3eQtZzGQ4hDSOX,0.0659,0.837,0.709,0.0,0.213,-2.88,0.0489,129.985,0.623,Nova playlist 2
Bumbum Granada,Mc's Zaac & Jerry Smith,spotify:track:4SCH5CuivFcShLpTg8lYOf,0.314,0.965,0.811,0.000148,0.187,-1.756,0.134,130.015,0.161,Nova playlist 2
I'm a Believer - 2006 Remaster,The Monkees,spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,0.707,0.526,0.775,2.05e-05,0.217,-6.05,0.0352,80.106,0.962,Nova playlist 2
About A Girl - Remastered,Nirvana,spotify:track:0zeqKbySjKbfW5jyl3PMsW,8.86e-06,0.402,0.898,8.89e-05,0.279,-6.467,0.0316,132.092,0.675,Nova playlist 2
Molly's Lips - BBC John Peel Session 1990,Nirvana,spotify:track:0GE0aIcXIKqJbFKzoiIUMc,2.29e-05,0.319,0.896,0.105,0.0944,-9.417,0.0454,167.119,0.682,Nova playlist 2
Smells Like Teen Spirit,Nirvana,spotify:track:1f3yAtsJtY87CTmM8RLnxf,2.55e-05,0.502,0.912,0.000173,0.106,-4.556,0.0564,116.761,0.72,Nova playlist 2
Lithium,Nirvana,spotify:track:26D1PRJjD9Jj1JGRk88KVc,0.00174,0.678,0.656,0.0,0.0631,-6.41,0.0381,123.207,0.485,Nova playlist 2
Pescador de ilusões,O Rappa,spotify:track:2QGzg5htcf4b0NeSLbi0K6,0.0598,0.698,0.801,3.5e-05,0.205,-8.366,0.0326,93.859,0.905,Nova playlist 2
Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,spotify:track:6fQcqEcXfnY0L6VwS0c3gT,0.184,0.827,0.576,0.029,0.0656,-7.774,0.0372,118.04,0.41,Nova playlist 2
1901,Phoenix,spotify:track:1mvyqSb1tOvtVP1qfWEyPa,0.0588,0.607,0.835,4.71e-05,0.195,-5.427,0.0415,144.087,0.719,Nova playlist 2
Até Quando Esperar,Plebe Rude,spotify:track:5NykfmxWT7UILu4Xd9zk8F,0.000157,0.504,0.871,0.00179,0.118,-6.669,0.0436,94.095,0.601,Nova playlist 2
Stand By You,Rachel Platten,spotify:track:3kSXn1osC89W8JcPLozTzs,0.146,0.506,0.897,0.000451,0.0868,-4.632,0.26,188.03,0.525,Nova playlist 2
Rock 'n' Roll High School - 2002 Remaster,Ramones,spotify:track:4FzPIalyruWIiefI91qe4B,0.0183,0.499,0.87,0.0,0.0512,-4.431,0.126,188.853,0.893,Nova playlist 2
Blitzkrieg Bop - 2001 Remastered Version,Ramones,spotify:track:33iQW2OneB0oNh2NfrAzqW,0.0103,0.547,0.733,0.131,0.117,-6.558,0.0433,176.198,0.962,Nova playlist 2
Metamorfose ambulante,Raul Seixas,spotify:track:1BGrHLBKZCVGslxe0dSExv,0.425,0.497,0.553,0.0,0.294,-9.201,0.0323,136.131,0.6,Nova playlist 2
Under the Bridge,Red Hot Chili Peppers,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,0.0576,0.559,0.345,0.000105,0.141,-13.496,0.0459,84.581,0.458,Nova playlist 2
By the Way,Red Hot Chili Peppers,spotify:track:1f2V8U1BiWaC9aJWmpOARe,0.0264,0.451,0.97,0.00355,0.102,-4.938,0.107,122.444,0.198,Nova playlist 2
The Zephyr Song,Red Hot Chili Peppers,spotify:track:1ndGB6rvxKYN9seCYO1dTF,0.013,0.725,0.803,3.66e-05,0.0891,-4.083,0.0337,117.391,0.403,Nova playlist 2
Can't Stop,Red Hot Chili Peppers,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,0.0179,0.618,0.938,0.0,0.167,-3.442,0.0456,91.455,0.875,Nova playlist 2
Around the World,Red Hot Chili Peppers,spotify:track:0aGQHMr7bc23Y9Ts84ffop,0.00417,0.504,0.96,0.569,0.0613,-1.464,0.183,96.682,0.774,Nova playlist 2
Scar Tissue,Red Hot Chili Peppers,spotify:track:1G391cbiT3v3Cywg8T7DM1,0.0779,0.595,0.717,0.00274,0.108,-4.803,0.0295,88.969,0.547,Nova playlist 2
Otherside,Red Hot Chili Peppers,spotify:track:64BbK9SFKH2jk86U3dGj2P,0.00316,0.458,0.795,0.000202,0.0756,-3.265,0.0574,123.229,0.513,Nova playlist 2
Californication,Red Hot Chili Peppers,spotify:track:48UPSzbZjgc449aqz8bxox,0.0021,0.592,0.767,0.00165,0.127,-2.788,0.027,96.483,0.328,Nova playlist 2
Dani California,Red Hot Chili Peppers,spotify:track:10Nmj3JCNoMeBQ87uw5j8k,0.0193,0.556,0.913,8.59e-06,0.346,-2.36,0.0437,96.184,0.73,Nova playlist 2
Snow (Hey Oh),Red Hot Chili Peppers,spotify:track:2aibwv5hGXSgw7Yru8IYTO,0.116,0.427,0.9,1.75e-05,0.119,-3.674,0.0499,104.655,0.599,Nova playlist 2
You've Got Time,Regina Spektor,spotify:track:1vDMGBzqLJWZC5UzePDURw,0.00464,0.321,0.955,0.00897,0.269,-2.749,0.146,167.467,0.331,Nova playlist 2
Watch Me (Whip / Nae Nae),Silentó,spotify:track:1CvhKmrutTAta5awpJcFDn,0.234,0.819,0.768,0.0,0.334,-8.522,0.134,139.982,0.964,Nova playlist 2
All Star,Smash Mouth,spotify:track:22c2pt75xtnDddA5Zlm0yy,0.0398,0.73,0.862,0.0,0.0818,-5.876,0.0313,104.018,0.77,Nova playlist 2
Paper Pools,Smija,spotify:track:1oJFh04MxEmecGdJd8yPhu,0.0107,0.433,0.905,0.0,0.161,-5.094,0.281,171.791,0.641,Nova playlist 2
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,spotify:track:0WQiDwKJclirSYG9v5tayI,0.04,0.523,0.769,0.0,0.136,-5.855,0.0269,136.162,0.876,Nova playlist 2
"Ask - Live in London, 1986",The Smiths,spotify:track:3FROBNnTiGKsCbDvhchghx,0.0142,0.356,0.926,5e-05,0.933,-7.027,0.0545,175.654,0.781,Nova playlist 2
You Only Live Once,The Strokes,spotify:track:4fPBB44eDH71YohayI4eKV,0.0238,0.63,0.908,0.592,0.116,-2.42,0.0326,120.522,0.968,Nova playlist 2
Someday,The Strokes,spotify:track:7hm4HTk9encxT0LYC0J6oI,0.00425,0.539,0.521,0.0,0.367,-7.46,0.0299,106.035,0.679,Nova playlist 2
Reptilia,The Strokes,spotify:track:57Xjny5yNzAcsxnusKmAfA,0.000603,0.489,0.649,0.713,0.101,-5.11,0.0336,158.009,0.77,Nova playlist 2
Piloto Automático,Supercombo,spotify:track:35689kbAwieHK4YNmwEisS,0.263,0.617,0.697,0.0,0.097,-4.932,0.0352,131.981,0.519,Nova playlist 2
Hypnotize,System Of A Down,spotify:track:6oO7WMjD6kEvCITLbVj0mu,0.0303,0.274,0.92,0.000412,0.115,-4.096,0.0489,154.016,0.0397,Nova playlist 2
Lonely Day,System Of A Down,spotify:track:1VNWaY3uNfoeWqb5U8x2QX,0.362,0.47,0.796,1.1e-06,0.133,-3.277,0.0336,113.108,0.215,Nova playlist 2
Metro,System Of A Down,spotify:track:7HxKFbr2SUiWzWUlhe0iIz,0.0134,0.479,0.947,0.00121,0.0507,-4.187,0.202,120.932,0.593,Nova playlist 2
Toxicity,System Of A Down,spotify:track:7MeXwzhSDGfqNfuFANgzVC,0.000254,0.407,0.876,0.00265,0.215,-4.145,0.0529,116.335,0.521,Nova playlist 2
Epitáfio,Titãs,spotify:track:35J9vakuC3f18QTolNAQ6E,0.481,0.723,0.611,1.44e-05,0.11,-7.006,0.0303,111.813,0.261,Nova playlist 2
Já Sei Namorar,Tribalistas,spotify:track:2GplG03rw0CN2EMLzPJZAl,0.67,0.67,0.822,0.00115,0.132,-6.687,0.057,145.56,0.833,Nova playlist 2
Stressed Out,Twenty One Pilots,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,0.0462,0.734,0.637,2.29e-05,0.0602,-5.677,0.141,169.977,0.648,Nova playlist 2
Tear in My Heart,Twenty One Pilots,spotify:track:3bnVBN67NBEzedqQuWrpP4,0.0189,0.655,0.632,0.0,0.0722,-4.802,0.0489,120.113,0.447,Nova playlist 2
Ride,Twenty One Pilots,spotify:track:2Z8WuEywRWYTKe1NybPQEW,0.00835,0.645,0.713,0.0,0.113,-5.355,0.0393,74.989,0.566,Nova playlist 2
Eu Me Amo,Ultraje a Rigor,spotify:track:2T2qSRinGPlJdva93W1P0w,0.0755,0.595,0.939,1.53e-06,0.827,-5.802,0.0347,154.579,0.968,Nova playlist 2
Nós Vamos Invadir Sua Praia - Ao Vivo,Ultraje a Rigor,spotify:track:1HGzLqHYc0Kz9rHMRx6J0M,0.141,0.425,0.962,0.0,0.972,-4.565,0.159,173.613,0.822,Nova playlist 2
Riptide,Vance Joy,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,0.431,0.484,0.731,0.0,0.151,-6.694,0.0379,101.654,0.51,Nova playlist 2
See You Again (feat. Charlie Puth),Wiz Khalifa,spotify:track:7wqSzGeodspE3V6RBD5W8L,0.369,0.689,0.481,1.03e-06,0.0649,-7.503,0.0815,80.025,0.283,Nova playlist 2
Renegades,X Ambassadors,spotify:track:46GGxd8TVRt6FjUBfCavVT,0.0127,0.514,0.858,0.0528,0.251,-5.995,0.0896,89.833,0.6,Nova playlist 2
Bitter Sweet Symphony,The Verve,spotify:track:5yEPxDjbbzUzyauGtnmVEC,0.0415,0.389,0.889,0.0,0.463,-6.546,0.0442,171.121,0.524,Nova playlist 2
Spirits,The Strumbellas,spotify:track:3dv9Bvpp9HikNsEvDCKHhC,0.181,0.553,0.729,0.0,0.109,-3.696,0.0266,80.503,0.776,Nova playlist 2
