name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
Não Existe Amor em Sp,Criolo,spotify:track:6ROhm6gtkd6SDets7Jz9d6,0.391,0.604,0.412,0.016,0.0759,-9.527,0.0422,142.002,0.346,Nova playlist 2
Cartão de Visita,Criolo,spotify:track:5J7Rk7fR2P3dN0CHH3OAB2,0.0911,0.796,0.791,0.0,0.312,-4.947,0.205,95.008,0.938,Nova playlist 2
Passarinhos (feat. Vanessa Da Mata),Emicida,spotify:track:7cnm6MnAwwnf52Jy47WTGN,0.048,0.752,0.678,0.0,0.0971,-6.261,0.123,159.97,0.689,Nova playlist 2
Diário de um Detento,Racionais MC's,spotify:track:7wglwZzZoWUr8sOECwpu6L,0.603,0.903,0.526,0.0,0.0973,-10.069,0.334,87.005,0.766,Nova playlist 2
Sweet Dreams (Are Made Of This),Marilyn Manson,spotify:track:2miAut6dp9BWdGmOxwSGEC,0.00502,0.39,0.642,0.565,0.296,-5.266,0.0326,92.397,0.132,Nova playlist 2
Chop Suey!,System Of A Down,spotify:track:5V3mdRI2yQxbSsJGDPc5lD,0.000353,0.42,0.929,0.000747,0.122,-3.899,0.121,127.204,0.3,Nova playlist 2
B.Y.O.B.,System Of A Down,spotify:track:0EYOdF5FCkgOJJla8DI2Md,0.00662,0.538,0.981,0.0,0.219,-2.688,0.14,101.414,0.711,Nova playlist 2
Attack,System Of A Down,spotify:track:0dxPHMZTI8TWMYRucsAFNd,0.005,0.349,0.97,3.31e-06,0.0432,-2.874,0.0892,159.779,0.299,Nova playlist 2
Cigaro,System Of A Down,spotify:track:47EqCQZG5v4o0WFMufGf5S,0.000469,0.378,0.99,5.75e-06,0.259,-1.594,0.0611,110.709,0.761,Nova playlist 2
Radio/Video,System Of A Down,spotify:track:41pOIT2t1rvr2Trg1HQChZ,0.171,0.358,0.921,7.64e-06,0.358,-2.467,0.0695,139.256,0.476,Nova playlist 2
Question!,System Of A Down,spotify:track:6y2DHyCYf6azhUfXmnuH6w,0.00083,0.207,0.973,0.0158,0.318,-3.21,0.185,180.683,0.364,Nova playlist 2
Sweat (A La La La La Long),Inner Circle,spotify:track:7kTvXtMERxvwCGcWv68ssH,0.0166,0.787,0.79,0.0,0.18,-6.649,0.21,173.032,0.948,Nova playlist 2
Need You Now,Lady A,spotify:track:7GAaTpSoTWUTbP2Yxlt4Hd,0.0298,0.581,0.717,0.000186,0.243,-4.433,0.0318,107.884,0.316,Nova playlist 2
Slow Ride,Foghat,spotify:track:4MYb7NWLwXNDB7bYs3HeX8,0.0202,0.493,0.586,0.00106,0.102,-13.916,0.046,113.618,0.656,Nova playlist 2
Story of My Life,Social Distortion,spotify:track:4Q4w8aRdfhIIEhBututktL,0.0676,0.328,0.884,0.0166,0.327,-7.982,0.0338,201.868,0.686,Nova playlist 2
Mississippi Queen,Mountain,spotify:track:5Ny6yVg3LRfz3jicFcIMlm,0.13,0.479,0.832,2.83e-05,0.0459,-4.746,0.145,140.41,0.584,Nova playlist 2
Sunshine Of Your Love,Cream,spotify:track:4gxtH5mCSqVPTsqGcWKVOC,0.369,0.684,0.597,7.24e-05,0.127,-8.339,0.0353,115.092,0.712,Nova playlist 2
Welcome To The Jungle,Guns N' Roses,spotify:track:0mCj9395EGJwklTBtGpLd9,0.0222,0.443,0.955,0.361,0.297,-8.066,0.0741,123.423,0.333,Nova playlist 2
Before I Forget,Slipknot,spotify:track:1wdd1nH9JwrVc32RUmSySE,0.0177,0.291,0.974,5.44e-06,0.886,-2.997,0.171,134.724,0.348,Nova playlist 2
Subirusdoistiozin,Criolo,spotify:track:1pkD31Pt5ZNW3N9v2cFMzc,0.0483,0.717,0.501,0.0017,0.308,-7.654,0.29,172.785,0.568,Nova playlist 2
Dark Horse,Katy Perry,spotify:track:4kgsK0fftHtg9gZOzkU5T2,0.00396,0.645,0.589,0.0,0.145,-6.131,0.0523,131.899,0.35,Nova playlist 2
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,spotify:track:2Foc5Q5nqNiosCNqttzHof,0.0426,0.794,0.811,1.07e-06,0.101,-8.966,0.038,116.047,0.862,Nova playlist 2
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,spotify:track:2Cd9iWfcOpGDHLz6tVA3G4,0.00627,0.766,0.873,0.0,0.0764,-6.381,0.143,126.988,0.743,Nova playlist 2
Rolling In The Deep,Adele,spotify:track:2GblQ918RbkOs4Yo1Rpkcj,0.13,0.727,0.76,0.0,0.0584,-5.114,0.0297,104.941,0.54,Nova playlist 2
Not Afraid,Eminem,spotify:track:4hEl2wrneFEJbJ6SDYWd2f,0.543,0.854,0.954,0.0,0.201,-1.185,0.246,114.609,0.67,Nova playlist 2
We Will Rock You - Remastered 2011,Queen,spotify:track:4pbJqGIASGPr0ZpGpnWkDn,0.676,0.692,0.497,0.0,0.259,-7.316,0.119,81.308,0.475,Nova playlist 2
Envolvidão - Acústico,Rael,spotify:track:23MyhBDmyFdgrSCsVTbVtT,0.767,0.512,0.577,0.0,0.0788,-4.966,0.161,86.716,0.951,Nova playlist 2
Beatbox e Violino,Oriente,spotify:track:72e5D4PiWwW1xaa0RjHdf7,0.418,0.536,0.868,0.108,0.22,-6.557,0.256,124.997,0.634,Nova playlist 2
The Longest Wave,Red Hot Chili Peppers,spotify:track:0pjCkLjbgSLn5c0Ilwuv8z,0.319,0.476,0.511,0.000129,0.119,-6.25,0.0324,148.158,0.339,Nova playlist 2
Goodbye Angels,Red Hot Chili Peppers,spotify:track:2XTkpF9T2PKvcLgamGJGx1,0.104,0.365,0.804,6.58e-05,0.15,-5.922,0.105,171.597,0.577,Nova playlist 2
Sweet Child O' Mine,Guns N' Roses,spotify:track:7o2CTH4ctstm8TNelqjb51,0.0866,0.454,0.91,0.0996,0.116,-7.766,0.0448,125.116,0.629,Nova playlist 2
Sex on Fire,Kings of Leon,spotify:track:0ntQJM78wzOLVeCUAW7Y45,0.00172,0.542,0.905,0.0104,0.136,-5.653,0.054,153.398,0.374,Nova playlist 2
Negro Drama,Racionais MC's,spotify:track:3ytXzEJFeVydFfmUhHvti8,0.275,0.858,0.733,0.0,0.152,-7.292,0.305,157.38,0.801,Nova playlist 2
Basket Case,Green Day,spotify:track:6L89mwZXSOwYl76YXfX13s,0.00293,0.442,0.943,8.71e-06,0.091,-3.205,0.0602,85.064,0.781,Nova playlist 2
Vira-Vira,Mamonas Assassinas,spotify:track:2XGRcNVv7uJozHCRLl7SG8,0.0716,0.53,0.642,0.0,0.0872,-9.462,0.11,202.068,0.809,Nova playlist 2
Pelados Em Santos,Mamonas Assassinas,spotify:track:2iJpjciYl8vfQbb543b5Pb,0.0624,0.566,0.487,3.42e-06,0.0598,-9.902,0.0616,136.039,0.811,Nova playlist 2
Robocop Gay,Mamonas Assassinas,spotify:track:1eDBpkZgY7p9OBVodcrX9n,0.0112,0.672,0.79,2.05e-06,0.334,-9.777,0.0376,143.98,0.921,Nova playlist 2
Kiss Me,Sixpence None The Richer,spotify:track:4pZ2aqPV39Gw3FuHrWKWnM,0.116,0.529,0.741,1.23e-06,0.0736,-5.661,0.0268,100.004,0.455,Nova playlist 2
Sweet Home Alabama,Lynyrd Skynyrd,spotify:track:74QCZPlpayjvQ4yJJFljfQ,0.181,0.601,0.593,0.000441,0.121,-11.685,0.0257,97.784,0.902,Nova playlist 2
Don't Stop Believin',Journey,spotify:track:77NNZQSqzLNqh2A9JhLRkg,0.25,0.491,0.802,0.0,0.387,-7.106,0.0392,119.25,0.472,Nova playlist 2
Losing My Religion,R.E.M.,spotify:track:74EV0g12ihUoOUXMprFpZB,0.0767,0.672,0.841,0.0,0.135,-5.992,0.0285,125.437,0.82,Nova playlist 2
Lonely Boy,The Black Keys,spotify:track:3dOAXUx7I1qnzWzxdnsyB8,0.00417,0.356,0.872,0.00975,0.0997,-7.837,0.068,166.3,0.607,Nova playlist 2
Should I Stay or Should I Go - Remastered,The Clash,spotify:track:39shmbIHICJ2Wxnk1fPSdz,0.0804,0.743,0.836,0.0,0.384,-6.465,0.116,113.375,0.82,Nova playlist 2
Sweet Caroline,Neil Diamond,spotify:track:3zByVQLvdXUaDTubfWkpCk,0.611,0.529,0.127,0.000109,0.237,-16.066,0.0274,63.05,0.578,Nova playlist 2
"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",John Travolta,spotify:track:3Zuf70897YkrVRAsrBMMSF,0.227,0.751,0.753,0.000784,0.209,-8.198,0.0935,106.976,0.774,Nova playlist 2
Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees,spotify:track:5cP52DlDN9yryuZVQDg3iq,0.0291,0.704,0.834,0.00492,0.147,-7.131,0.0358,103.555,0.923,Nova playlist 2
Do Lado de Cá,Chimarruts,spotify:track:7HacxOP2pHeSv1OsraqmDA,0.767,0.628,0.46,0.0021,0.092,-6.764,0.0575,75.708,0.677,Nova playlist 2
All Star,Nando Reis,spotify:track:74lPucESMXF7QAYNbSFdJa,0.79,0.574,0.486,1.31e-05,0.102,-9.074,0.0444,90.039,0.634,Nova playlist 2
Blank Space/Stand By Me - Live From Spotify London,Imagine Dragons,spotify:track:3I05foFixB2sSZvV5Ppty8,0.408,0.766,0.552,0.0,0.748,-6.729,0.0862,101.895,0.519,Nova playlist 2
Eu Vi Gnomos,Tihuana,spotify:track:4YFH3G5YQI3Z5JwOIR8att,0.307,0.894,0.298,1.2e-06,0.0964,-10.637,0.11,116.15,0.737,Nova playlist 2
Chama os Mulekes,ConeCrewDiretoria,spotify:track:1gjlcQSqeW1arIKqgBf2WH,0.357,0.589,0.803,0.0,0.127,-4.46,0.337,88.105,0.523,Nova playlist 2
Esquiva da Esgrima,Criolo,spotify:track:1zyZ7YB8mKchpdncGAurpU,0.3,0.548,0.824,1.92e-06,0.066,-7.402,0.26,84.818,0.677,Nova playlist 2
Breáco,Criolo,spotify:track:3D23CuUVIatxQ3OdQBmG0z,0.157,0.623,0.786,0.0,0.15,-6.577,0.335,182.053,0.712,Nova playlist 2
Tropicalia,Gilberto Gil,spotify:track:1DpbjK8UdY2WHNxodfMeJ9,0.703,0.497,0.559,0.0,0.268,-11.643,0.0739,99.49,0.615,Nova playlist 2
Summertime Sadness,Lana Del Rey,spotify:track:3BJe4B8zGnqEdQPMvfVjuS,0.0542,0.565,0.654,1.8e-06,0.122,-6.826,0.0335,111.968,0.235,Nova playlist 2
Partiu,MC Kekel,spotify:track:1LTxGBL6yKtfmW3K8EvbSY,0.601,0.825,0.83,0.00105,0.064,-5.169,0.0593,129.911,0.758,Nova playlist 2
Teorema De Carlão,Pedra Leticia,spotify:track:4neEbGERpYHVGPA1McjFmM,0.144,0.709,0.541,0.0,0.104,-8.763,0.0409,102.957,0.251,Nova playlist 2
Soldier Side,System Of A Down,spotify:track:1ez4uWPnJwYufNhYTLVsJr,0.264,0.373,0.818,2.42e-06,0.119,-1.691,0.0352,76.474,0.176,Nova playlist 2
The Sound of Silence,Disturbed,spotify:track:1Cj2vqUwlJVG27gJrun92y,0.468,0.322,0.28,1.1e-06,0.102,-9.367,0.0281,85.794,0.175,Nova playlist 2
Revenga,System Of A Down,spotify:track:577mOFb1LAvSANIUZ4mbQ7,0.0016,0.51,0.944,0.000109,0.0686,-2.174,0.0768,140.043,0.44,Nova playlist 2
This Cocaine Makes Me Feel Like I'm On This Song,System Of A Down,spotify:track:0DVHR5FQ0Gp2dsZJz7hfdy,0.00308,0.372,0.948,9.68e-06,0.364,-2.865,0.0992,105.534,0.6,Nova playlist 2
Violent Pornography,System Of A Down,spotify:track:249Z7XT6mf8B2zuI0RaeS0,0.0283,0.459,0.958,0.0,0.108,-2.333,0.0877,142.707,0.586,Nova playlist 2
Old School Hollywood,System Of A Down,spotify:track:6iFVJGxSVdFkzYQJL7Rgdk,0.000845,0.269,0.967,0.0,0.0541,-2.744,0.096,162.812,0.598,Nova playlist 2
Lost In Hollywood,System Of A Down,spotify:track:0GrHWVTDsaWcD4nrCGr7VE,0.596,0.283,0.797,0.000412,0.125,-3.193,0.0307,155.564,0.107,Nova playlist 2
Innervision,System Of A Down,spotify:track:45FIAvozaJMvSY43AwPqld,0.000201,0.446,0.953,0.0241,0.357,-2.268,0.0989,120.013,0.232,Nova playlist 2
Boom!,System Of A Down,spotify:track:0ayV7kwyDrBCk4AN0ADkUd,0.000401,0.475,0.872,0.0247,0.118,-2.673,0.0415,154.569,0.284,Nova playlist 2
I-E-A-I-A-I-O,System Of A Down,spotify:track:3Jhl9Bjqg8lTCoJTE9YtpD,0.000126,0.626,0.791,0.0219,0.439,-2.734,0.0721,133.204,0.433,Nova playlist 2
Needles,System Of A Down,spotify:track:69y8JXal4LDOxYGNIfgzOe,0.00102,0.52,0.978,0.000233,0.0536,-3.126,0.0801,93.964,0.528,Nova playlist 2
Deer Dance,System Of A Down,spotify:track:7m6jkjeqackwEhecoP45bA,0.0108,0.456,0.938,0.000685,0.305,-3.576,0.133,160.137,0.818,Nova playlist 2
ATWA,System Of A Down,spotify:track:36X2aY9u5BBTisjU5M5omG,0.00317,0.352,0.786,0.0,0.597,-4.721,0.047,174.744,0.401,Nova playlist 2
Psycho,System Of A Down,spotify:track:1LfSbPH1QCPxce41b9mmYF,0.00151,0.465,0.682,6.47e-05,0.175,-4.046,0.073,145.32,0.412,Nova playlist 2
Aerials,System Of A Down,spotify:track:1twBt7aZiy7HWPG025QGuP,0.00107,0.404,0.923,0.0163,0.0637,-4.235,0.0547,81.058,0.248,Nova playlist 2
Sugar,System Of A Down,spotify:track:6yKvZ1hJyl8wapjb1eVEQn,0.00158,0.445,0.887,0.00224,0.281,-2.739,0.237,131.034,0.583,Nova playlist 2
Spiders,System Of A Down,spotify:track:3njyXewwWLp3B0p6rSMeyw,0.031,0.457,0.532,0.0109,0.349,-5.069,0.0373,137.767,0.0462,Nova playlist 2
Treat You Better,Shawn Mendes,spotify:track:76t5B0ttSAje5KHmQbv88t,0.107,0.683,0.797,0.0,0.114,-4.085,0.246,82.916,0.758,Nova playlist 2
Pumped Up Kicks,Foster The People,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,127.975,0.965,Nova playlist 2
Relicário - Ao Vivo,Cássia Eller,spotify:track:6HhXiy5XZ81Pyv3yCZMtj1,0.53,0.3,0.7,0.0,0.186,-6.567,0.036,165.642,0.398,Nova playlist 2
Anna Júlia,Los Hermanos,spotify:track:0aASUtDb1N96NJDwmWj5Gf,0.0445,0.427,0.817,1.67e-05,0.0801,-5.196,0.0385,148.234,0.458,Nova playlist 2
Santeria,Sublime,spotify:track:6cJqlSO19vsfCsH1FeFI35,0.0223,0.673,0.772,1.23e-06,0.141,-5.246,0.0427,90.356,0.585,Nova playlist 2
Let Her Go,Passenger,spotify:track:7DFNE7NO0raLIUbgzY2rzm,0.385,0.509,0.538,0.0,0.104,-7.335,0.0572,75.089,0.244,Nova playlist 2
Walk in the Rain,Passenger,spotify:track:3pv6Z8avLOg8qkzmCtMfzN,0.231,0.216,0.487,2.17e-05,0.0655,-8.45,0.0327,65.237,0.111,Nova playlist 2
A Thousand Miles,Vanessa Carlton,spotify:track:7ulZJytSQ43kwDjT2AL0LZ,0.328,0.454,0.827,0.0,0.226,-3.774,0.0398,94.767,0.32,Nova playlist 2
Vou Deixar,Skank,spotify:track:0aJzrpwqEdGZQsSHLvbbpz,0.033,0.509,0.846,4.37e-05,0.12,-6.707,0.0369,135.844,0.753,Nova playlist 2
U Can't Touch This,MC Hammer,spotify:track:1B75hgRqe7A4fwee3g3Wmu,0.00456,0.867,0.517,0.000339,0.0864,-13.222,0.0875,133.148,0.866,Nova playlist 2
What's Up?,4 Non Blondes,spotify:track:7f0jXNMu2xjQUtmKMuWhGA,0.156,0.566,0.57,0.0,0.118,-9.875,0.0285,134.537,0.491,Nova playlist 2
Black Beatles,Rae Sremmurd,spotify:track:21xJVN5wEbJogczYxfZhqR,0.158,0.794,0.647,0.0,0.139,-6.232,0.0628,145.945,0.345,Nova playlist 2
"O Mundo É Bão, Sebastião! (15 Anos)",Nando Reis,spotify:track:5B4qjbdMD3N2QEK1VQzIwN,0.753,0.598,0.531,1.7e-05,0.0793,-8.276,0.0317,82.074,0.521,Nova playlist 2
Ainda É Cedo,Legião Urbana,spotify:track:7uscfoAoI65JcSY4NyHg1t,0.32,0.612,0.675,0.00093,0.0861,-10.39,0.0388,148.336,0.803,Nova playlist 2
Sick Love,Red Hot Chili Peppers,spotify:track:6GsP3uMCd0Dn5T37C93waZ,0.183,0.591,0.794,0.0,0.292,-5.935,0.069,147.974,0.875,Nova playlist 2
Ain't No Rest For The Wicked - Original Version,Cage The Elephant,spotify:track:5c5a2Ptu8eyIpljhQHjIqk,0.0597,0.635,0.914,0.0,0.601,-5.631,0.111,156.014,0.922,Nova playlist 2
Meu Novo Mundo,Charlie Brown Jr.,spotify:track:0LDT8QEHbPA0aawzm9CWP7,0.315,0.727,0.801,0.000834,0.127,-5.104,0.0285,124.057,0.896,Nova playlist 2
Jovem,Supercombo,spotify:track:4ZgxTmsiEZnADVdr7MYaLS,0.00835,0.516,0.768,0.0,0.463,-8.043,0.0393,75.028,0.528,Nova playlist 2
Million Reasons,Lady Gaga,spotify:track:50PWlIBU7PlGGwzgN8TiFJ,0.477,0.668,0.449,0.0,0.107,-7.897,0.0451,129.889,0.154,Nova playlist 2
Bad Romance,Lady Gaga,spotify:track:1CZOrmHUUjeDP7N2B4Ba6S,0.00314,0.696,0.921,5.24e-05,0.0842,-3.755,0.0363,119.001,0.714,Nova playlist 2
Telephone,Lady Gaga,spotify:track:2WiWxzOSvBrVRZMbcn8ye1,0.00521,0.824,0.836,0.000817,0.112,-5.903,0.0404,122.014,0.716,Nova playlist 2
All The Small Things,blink-182,spotify:track:12qZHAeOyTf93YAWvGDTat,0.00844,0.442,0.893,0.0,0.529,-4.878,0.0505,148.119,0.712,Nova playlist 2
What's My Age Again?,blink-182,spotify:track:1hWrl3T1kIH5b9zRHLfCOn,0.0133,0.398,0.954,0.000218,0.0891,-7.373,0.0715,157.766,0.433,Nova playlist 2
7 Years,Lukas Graham,spotify:track:5kqIPrATaCc2LqxVWzQGbk,0.287,0.765,0.473,0.0,0.391,-5.829,0.0514,119.992,0.34,Nova playlist 2
Deu Onda,MC G15,spotify:track:0EPxmvsG1BY5td4aTOkWBF,0.456,0.931,0.604,0.0,0.0488,-1.41,0.0573,129.926,0.864,Nova playlist 2
"Sitting, Waiting, Wishing",Jack Johnson,spotify:track:1dnXuEuApvuVqQCn0v9McL,0.229,0.766,0.547,1.5e-05,0.104,-7.25,0.0264,105.01,0.556,Nova playlist 2
I'm Yours,Jason Mraz,spotify:track:1EzrEOXmMH3G43AXT1y7pA,0.559,0.703,0.444,0.0,0.0973,-9.331,0.0417,150.96,0.712,Nova playlist 2
Dois Rios,Skank,spotify:track:3JO8ZHz8hF9R4XUd7sGE1N,0.445,0.528,0.601,0.0,0.213,-7.269,0.0259,77.05,0.364,Nova playlist 2
Heathens,Twenty One Pilots,spotify:track:6i0V12jOa3mr6uu4WYhUBr,0.0841,0.732,0.396,3.58e-05,0.105,-9.348,0.0286,90.024,0.548,Nova playlist 2
Sympathy For The Devil,The Rolling Stones,spotify:track:4sFbojhVXQv7dBC9PVCcRn,0.565,0.566,0.673,1.13e-06,0.0438,-10.814,0.306,114.385,0.583,Nova playlist 2
Anyone Who Knows What Love Is (Will Understand),Irma Thomas,spotify:track:6L2woktiAuW35BrcROmhW5,0.406,0.389,0.29,3.97e-05,0.0758,-11.868,0.0393,185.007,0.158,Nova playlist 2
Resposta,Skank,spotify:track:19YkX6WwgFKwCQ5edvLWvn,0.254,0.59,0.524,8.47e-06,0.201,-8.108,0.0272,74.986,0.503,Nova playlist 2
Somewhere Only We Know,Lily Allen,spotify:track:3DDGhkxq3FeUorZppSgeLE,0.935,0.314,0.286,0.0258,0.0999,-10.191,0.035,172.021,0.278,Nova playlist 2
Vagalumes,POLLO,spotify:track:77Ztfd0fzBA9sPJNVmvyGF,0.196,0.803,0.75,0.0,0.134,-4.64,0.246,87.992,0.715,Nova playlist 2
Uptown Funk (feat. Bruno Mars),Mark Ronson,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.00801,0.856,0.609,8.15e-05,0.0344,-7.223,0.0824,114.988,0.928,Nova playlist 2
Your Love,The Outfield,spotify:track:5dRQUolXAVX3BbCiIxmSsf,0.103,0.555,0.757,1.16e-06,0.0631,-7.868,0.0601,129.607,0.582,Nova playlist 2
"Rap, Cerva, Erva e Muita Larica",ConeCrewDiretoria,spotify:track:5sIxCKnrs3V6FG0M5XxmgD,0.00323,0.787,0.713,0.0,0.0458,-2.063,0.304,86.236,0.779,Nova playlist 2
Sutilmente,Skank,spotify:track:4pG8lbKPKkfGSniMXxZTM7,0.745,0.587,0.632,2.88e-05,0.0624,-7.254,0.0241,100.002,0.459,Nova playlist 2
Mulher de fases,Raimundos,spotify:track:624ra5mDiibqvFYDK4yhmo,0.0122,0.502,0.967,8.22e-06,0.342,-4.14,0.0801,131.939,0.466,Nova playlist 2
Oitavo Andar,Clarice Falcão,spotify:track:0bXGN9NcmezC64rItLPlec,0.782,0.696,0.29,0.0,0.0937,-12.138,0.048,116.899,0.704,Nova playlist 2
Survivor,Clarice Falcão,spotify:track:5gsgPZtKKeKQK9AF4AriVj,0.636,0.688,0.546,0.0,0.0955,-5.776,0.0874,115.025,0.589,Nova playlist 2
Here Comes The Sun - Remastered,The Beatles,spotify:track:45yEy5WJywhJ3sDI28ajTm,0.0339,0.557,0.54,0.00248,0.179,-10.484,0.0347,129.171,0.394,Nova playlist 2
Monstros,Supercombo,spotify:track:3bGuxNAgPXwEXV3odTDoXX,0.0278,0.506,0.762,0.0,0.341,-7.662,0.0387,132.0,0.402,Nova playlist 2
Let Me Love You,DJ Snake,spotify:track:4pdPtRcBmOSQDlJ3Fk945m,0.0784,0.476,0.718,1.02e-05,0.122,-5.309,0.0576,199.864,0.142,Nova playlist 2
"Because I Got High - From ""Jay And Silent Bob Strike Back"" Soundtrack",Afroman,spotify:track:2UaJdr9yD2S0bi9cDhIiEP,0.164,0.799,0.314,0.0,0.158,-9.627,0.512,166.064,0.842,Nova playlist 2
Senta Novinha,MC Fioti,spotify:track:6UPuuP84UDj9SI1MFRnGgc,0.0578,0.569,0.621,0.0,0.306,-5.925,0.156,174.387,0.3,Nova playlist 2
Cheap Thrills (feat. Sean Paul),Sia,spotify:track:6b3b7lILUJqXcp6w9wNQSm,0.0561,0.592,0.8,2.01e-06,0.0775,-4.931,0.215,89.972,0.728,Nova playlist 2
Esporrei na manivela,Raimundos,spotify:track:1bwle65z0TOlw4c0befbRL,0.000133,0.364,0.903,0.00135,0.191,-7.824,0.0748,91.672,0.312,Nova playlist 2
This Is The New Shit,Marilyn Manson,spotify:track:0M80OH09xmL6yIeUHHyX0O,0.000916,0.566,0.869,0.00346,0.114,-6.084,0.1,178.113,0.647,Nova playlist 2
Harakiri,Serj Tankian,spotify:track:6PqRjtYTjFQF1BOl7dNse0,0.00435,0.505,0.96,0.0,0.0997,-2.607,0.0475,135.013,0.525,Nova playlist 2
Empty Walls,Serj Tankian,spotify:track:7eNCd5hipdcUscAHTguegq,0.00161,0.464,0.963,0.0,0.196,-3.568,0.0484,160.071,0.528,Nova playlist 2
Occupied Tears,Serj Tankian,spotify:track:4h1ztZsGtKEGddleMyA9VH,0.00616,0.577,0.873,0.0,0.107,-3.974,0.0472,122.98,0.349,Nova playlist 2
Behind Blue Eyes,Limp Bizkit,spotify:track:1KXrIYY9fvjI0wN4gc4BVN,0.489,0.589,0.484,0.0,0.113,-6.622,0.0266,120.258,0.0927,Nova playlist 2
Take A Look Around,Limp Bizkit,spotify:track:2xI7o9zYcqynmueNH4foku,0.018,0.49,0.856,0.36,0.0871,-5.659,0.049,101.93,0.516,Nova playlist 2
Duality,Slipknot,spotify:track:61mWefnWQOLf90gepjOCb3,0.000237,0.354,0.982,0.000294,0.204,-3.026,0.168,143.772,0.194,Nova playlist 2
The Devil in I,Slipknot,spotify:track:5hheGdf1cb4rK0FNiedCfK,0.00591,0.398,0.939,0.000881,0.357,-2.865,0.0648,92.027,0.235,Nova playlist 2
Killing In The Name,Rage Against The Machine,spotify:track:59WN2psjkt1tyaxjspN8fp,0.0266,0.466,0.833,0.0,0.0327,-4.215,0.304,88.785,0.661,Nova playlist 2
Epic,Faith No More,spotify:track:4ReyTz0y3TGkX48wO3Llot,0.0222,0.358,0.893,0.0524,0.126,-7.486,0.12,174.238,0.262,Nova playlist 2
Come As You Are,Nirvana,spotify:track:0MKGH8UMfCnq5w7nG06oM5,0.00016,0.5,0.824,0.00161,0.0916,-5.846,0.0388,120.125,0.539,Nova playlist 2
Polly,Nirvana,spotify:track:3B5mL9DvvRmir26JrcqGpj,0.884,0.83,0.382,0.301,0.11,-11.231,0.0566,121.12,0.54,Nova playlist 2
Rape Me,Nirvana,spotify:track:7dOw5AHPKHqLUXl9gcRyi0,0.0194,0.414,0.738,0.0,0.0598,-10.507,0.0474,111.89,0.268,Nova playlist 2
Dumb,Nirvana,spotify:track:35SXxsmZECUxewU3uuQOa5,0.43,0.7,0.388,0.75,0.228,-13.601,0.0286,113.616,0.797,Nova playlist 2
No One Knows,Queens of the Stone Age,spotify:track:6y20BV5L33R8YXM0YuI38N,0.0368,0.509,0.584,9.96e-05,0.384,-4.907,0.057,170.411,0.685,Nova playlist 2
Young Folks,Peter Bjorn and John,spotify:track:4dyx5SzxPPaD8xQIid5Wjj,0.0164,0.699,0.812,0.000763,0.105,-6.005,0.0377,138.185,0.662,Nova playlist 2
Gold,Kiiara,spotify:track:6ZSO7kPn8IMJFymyticbJO,0.615,0.6,0.412,0.0025,0.134,-9.343,0.344,113.049,0.408,Nova playlist 2
Quero Ser Feliz Também,Natiruts,spotify:track:4bJ1zIf190a8VslcWxeSwB,0.168,0.74,0.463,0.0001,0.317,-9.366,0.0433,172.047,0.853,Nova playlist 2
Como Tudo Deve Ser,Charlie Brown Jr.,spotify:track:3QI5bIozef0HZ1kJnA2RdT,0.352,0.523,0.489,0.24,0.108,-10.043,0.0301,77.37,0.325,Nova playlist 2
Céu Azul,Charlie Brown Jr.,spotify:track:3xfmar3TQDEhxh6nnNh8p0,0.534,0.68,0.589,0.0,0.371,-6.945,0.0267,120.076,0.597,Nova playlist 2
Ela Vai Voltar (Todos Os Defeitos De Uma Mulher Perfeita),Charlie Brown Jr.,spotify:track:70dJEanFPdYuWZumkrnKeX,0.424,0.676,0.657,0.000147,0.13,-7.28,0.0272,105.002,0.879,Nova playlist 2
Happier,Ed Sheeran,spotify:track:2RttW7RAu5nOAfq6YFvApB,0.536,0.522,0.385,0.0,0.135,-7.355,0.0288,89.792,0.236,Nova playlist 2
New Man,Ed Sheeran,spotify:track:5HDPtsnyb3maFmPL8LLUTG,0.0559,0.78,0.745,0.0,0.0595,-3.97,0.145,94.026,0.862,Nova playlist 2
Malandragem - Ao Vivo,Cássia Eller,spotify:track:2PIHTeccvbpmrSeYrlWkfx,0.281,0.673,0.921,0.0,0.768,-6.532,0.101,135.261,0.761,Nova playlist 2
Pray For Plagues,Bring Me The Horizon,spotify:track:5fzJpKGHEMV2Hs2EoxJVeJ,0.0148,0.307,0.98,0.00813,0.67,-4.186,0.226,130.244,0.132,Nova playlist 2
Você Partiu Meu Coração (feat. Anitta & Wesley Safadão),Nego do Borel,spotify:track:0u8aj0c4IxeVSLTUuuq9V5,0.374,0.854,0.682,0.0,0.0697,-5.818,0.069,98.023,0.887,Nova playlist 2
