ANO,IBGE7,NOME,IDEB_AF,POP_TOT
2013,1303809,São Gabriel da Cachoeira,4.2,41575
2013,1303908,São Paulo de Olivença,4.1,34963
2013,1303957,São Sebastião do Uatumã,3.6,12115
2013,1304005,Silves,3.9,8946
2013,1304062,Tabatinga,3.6,58314
2013,1304104,Tapauá,4.7,18383
2013,1304203,Tefé,4.1,62885
2013,1304237,Tonantins,3,18162
2013,1304260,Uarini,3.2,12801
2013,1304302,Urucará,4.1,17367
2013,1304401,Urucurituba,3.4,20091
2013,1400027,Amajari,3.5,10432
2013,1400050,Alto Alegre,3.6,16428
2013,1400100,Boa Vista,3.6,308996
2013,1400159,Bonfim,3.1,11525
2013,1400175,Cantá,3.1,15393
2013,1400209,Caracaraí,3.1,19696
2013,1400233,Caroebe,3.6,8826
2013,1400282,Iracema,3,9762
2013,1400308,Mucajaí,3.8,15890
2013,1400407,Normandia,3.3,9754
2013,1400456,Pacaraima,3.5,11423
2013,1400472,Rorainópolis,3.1,26326
2013,1400506,São João da Baliza,3.5,7284
2013,1400605,São Luiz,3.8,7210
2013,1400704,Uiramutã,,9127
2013,1500107,Abaetetuba,3.2,147267
2013,1500131,Abel Figueiredo,3.9,7013
2013,1500206,Acará,3.5,54030
2013,1500305,Afuá,2.9,36598
2013,1500347,Água Azul do Norte,3.1,25899
2013,1500404,Alenquer,3.6,54035
2013,1500503,Almeirim,3.3,33562
2013,1500602,Altamira,3.7,105106
2013,1500701,Anajás,3.1,26547
2013,1500800,Ananindeua,3.4,493976
2013,1500859,Anapu,2.9,23609
2013,1500909,Augusto Corrêa,3.3,42591
2013,1500958,Aurora do Pará,3.2,28441
2013,1501006,Aveiro,3.5,15959
2013,1501105,Bagre,4,26666
2013,1501204,Baião,2.9,41232
2013,1501253,Bannach,3.9,3340
2013,1501303,Barcarena,3.1,109975
2013,1501402,Belém,3.1,1425922
2013,1501451,Belterra,4.2,16808
2013,1501501,Benevides,3.2,56112
2013,1501576,Bom Jesus do Tocantins,3.9,15916
2013,1501600,Bonito,2.9,14689
2013,1501709,Bragança,2.9,118678
2013,1501725,Brasil Novo,3.7,15300
2013,1501758,Brejo Grande do Araguaia,3,7285
2013,1501782,Breu Branco,3.1,58033
2013,1501808,Breves,3.5,96444
2013,1501907,Bujaru,3.5,27000
2013,1501956,Cachoeira do Piriá,3,29533
2013,1502004,Cachoeira do Arari,3.6,21740
2013,1502103,Cametá,3.3,127401
2013,1502152,Canaã dos Carajás,3.9,31062
2013,1502202,Capanema,2.6,65498
2013,1502301,Capitão Poço,3.1,52537
2013,1502400,Castanhal,3.3,183917
2013,1502509,Chaves,3.7,22029
2013,1502608,Colares,3,11600
2013,1502707,Conceição do Araguaia,3,46206
2013,1502756,Concórdia do Pará,3.2,30233
2013,1502764,Cumaru do Norte,3.4,11704
2013,1502772,Curionópolis,3.9,17983
2013,1502806,Curralinho,3,30915
2013,1502855,Curuá,3.5,13097
2013,1502905,Curuçá,3.2,36557
2013,1502939,Dom Eliseu,3.3,54602
2013,1502954,Eldorado dos Carajás,3.6,32420
2013,1503002,Faro,3.1,7680
2013,1503044,Floresta do Araguaia,3.2,18741
2013,1503077,Garrafão do Norte,3.4,25287
2013,1503093,Goianésia do Pará,2.6,36500
2013,1503101,Gurupá,3,30727
2013,1503200,Igarapé-Açu,2.9,36883
2013,1503309,Igarapé-Miri,3.5,59644
2013,1503408,Inhangapi,3.1,10693
2013,1503457,Ipixuna do Pará,3.3,54609
2013,1503507,Irituia,3.5,31634
2013,1503606,Itaituba,3.5,98363
2013,1503705,Itupiranga,3.2,51711
2013,1503754,Jacareacanga,3.1,11412
2013,1503804,Jacundá,3.4,54376
2013,1503903,Juruti,3.5,51483
2013,1504000,Limoeiro do Ajuru,3.5,26542
2013,1504059,Mãe do Rio,3.8,28636
2013,1504109,Magalhães Barata,2.5,8240
2013,1504208,Marabá,3.7,251885
2013,1504307,Maracanã,3.3,28631
2013,1504406,Marapanim,3.2,27153
2013,1504422,Marituba,3.4,117614
2013,1504455,Medicilândia,3.6,28987
2013,1504505,Melgaço,3.7,25860
2013,1504604,Mocajuba,3.3,28454
2013,1504703,Moju,3.5,74768
2013,1504752,Mojuí dos Campos,3.5,15232
2013,1504802,Monte Alegre,3.5,56147
2013,1504901,Muaná,3.1,36632
2013,1504950,Nova Esperança do Piriá,3.1,20528
2013,1504976,Nova Ipixuna,3.4,15422
2013,1505007,Nova Timboteua,3.3,14305
2013,1505031,Novo Progresso,3.7,25203
2013,1505064,Novo Repartimento,3.4,67652
2013,1505106,Óbidos,3.7,50171
2013,1505205,Oeiras do Pará,3.2,30088
2013,1505304,Oriximiná,3.9,66821
2013,1505403,Ourém,3.5,16854
2013,1505437,Ourilândia do Norte,3.5,29547
